/ # cat /proc/mtd
dev:    size   erasesize  name
mtd0: 00280000 00040000 "sbl"
mtd1: 00280000 00040000 "mibib"
mtd2: 01680000 00040000 "efs2"
mtd3: 001c0000 00040000 "tz"
mtd4: 00100000 00040000 "tz_devcfg"
mtd5: 00180000 00040000 "ddr"
mtd6: 00080000 00040000 "apdp"
mtd7: 00100000 00040000 "xbl_config"
mtd8: 00100000 00040000 "multi_image"
mtd9: 00100000 00040000 "aop"
mtd10: 00100000 00040000 "qhee"
mtd11: 00100000 00040000 "abl"
mtd12: 00280000 00040000 "uefi"
mtd13: 00180000 00040000 "toolsfv"
mtd14: 00180000 00040000 "loader_sti"
mtd15: 00d00000 00040000 "boot"
mtd16: 00100000 00040000 "scrub"
mtd17: 08040000 00040000 "modem"
mtd18: 001c0000 00040000 "misc"
mtd19: 00180000 00040000 "devinfo"
mtd20: 00080000 00040000 "recovery"
mtd21: 00080000 00040000 "fota"
mtd22: 00080000 00040000 "recoveryfs"
mtd23: 00100000 00040000 "sec"
mtd24: 12c80000 00040000 "system"
mtd25: 034c0000 00040000 "pad1"
mtd26: 02840000 00040000 "userrw"
mtd27: 03940000 00040000 "hdata"
mtd28: 008c0000 00040000 "cust"
mtd29: 01040000 00040000 "ntgrpersist"
mtd30: 16580000 00040000 "ntgfota"

