/ # ps aux
PID   USER     TIME  COMMAND
    1 root      0:03 {systemd} /sbin/init
    2 root      0:00 [kthreadd]
    3 root      0:00 [rcu_gp]
    4 root      0:00 [kworker/0:0]
    5 root      0:00 [kworker/0:0H]
    6 root      0:00 [kworker/u2:0]
    7 root      0:00 [mm_percpu_wq]
    8 root      0:00 [ksoftirqd/0]
    9 root      0:00 [rcu_preempt]
   10 root      0:00 [rcu_sched]
   11 root      0:00 [rcu_bh]
   12 root      0:00 [kdevtmpfs]
   13 root      0:00 [netns]
   14 root      0:00 [kworker/0:1]
   15 root      0:00 [kworker/u2:1]
   16 root      0:00 [msm_watchdog]
   17 root      0:00 [kworker/u3:0]
   18 root      0:00 [ipa_usb_wq]
   19 root      0:00 [qmp_aop]
   20 root      0:00 [oom_reaper]
   21 root      0:00 [writeback]
   22 root      0:00 [kcompactd0]
   23 root      0:00 [crypto]
   24 root      0:00 [kblockd]
   25 root      0:00 [irq/43-arm-smmu]
   26 root      0:00 [irq/36-tsens-up]
   27 root      0:00 [irq/37-tsens-cr]
   28 root      0:00 [system]
   29 root      0:00 [ipa_power_mgmt]
   30 root      0:00 [transport_power]
   31 root      0:00 [ipa_pm_activate]
   32 root      0:00 [ipa_eth]
   33 root      0:00 [ipa_eth_wq]
   34 root      0:00 [devfreq_wq]
   35 root      0:00 [cfg80211]
   36 root      0:00 [kauditd]
   37 root      0:00 [kswapd0]
   76 root      0:00 [irq/33-smp2p]
   77 root      0:00 [k_hsuart]
   78 root      0:00 [msm_serial_hs_0]
   79 root      0:00 [msm_serial_hs_0]
   80 root      0:00 [hwrng]
   82 root      0:00 [diag_real_time_]
   83 root      0:00 [diag_wq]
   85 root      0:00 [DIAG_USB_diag]
   86 root      0:00 [diag_cntl_wq]
   87 root      0:00 [diag_dci_wq]
   88 root      0:00 [MODEM_CNTL]
   89 root      0:00 [MODEM_DATA]
   90 root      0:00 [MODEM_CMD]
   91 root      0:00 [MODEM_DCI]
   92 root      0:00 [MODEM_DCI_CMD]
   93 root      0:00 [LPASS_CNTL]
   94 root      0:00 [LPASS_DATA]
   95 root      0:00 [LPASS_CMD]
   96 root      0:00 [LPASS_DCI]
   97 root      0:00 [LPASS_DCI_CMD]
   98 root      0:00 [WCNSS_CNTL]
   99 root      0:00 [WCNSS_DATA]
  100 root      0:00 [WCNSS_CMD]
  101 root      0:00 [WCNSS_DCI]
  102 root      0:00 [WCNSS_DCI_CMD]
  103 root      0:00 [SENSORS_CNTL]
  104 root      0:00 [SENSORS_DATA]
  105 root      0:00 [SENSORS_CMD]
  106 root      0:00 [SENSORS_DCI]
  107 root      0:00 [SENSORS_DCI_CMD]
  108 root      0:00 [DIAG_CTRL]
  109 root      0:00 [DIAG_DATA]
  110 root      0:00 [DIAG_CMD]
  111 root      0:00 [DIAG_DCI_DATA]
  112 root      0:00 [DIAG_DCI_CMD]
  113 root      0:00 [CDSP_CNTL]
  114 root      0:00 [CDSP_DATA]
  115 root      0:00 [CDSP_CMD]
  116 root      0:00 [CDSP_DCI]
  117 root      0:00 [CDSP_DCI_CMD]
  118 root      0:00 [NPU_CNTL]
  119 root      0:00 [NPU_DATA]
  120 root      0:00 [NPU_CMD]
  121 root      0:00 [NPU_DCI]
  122 root      0:00 [NPU_DCI_CMD]
  123 root      0:00 [DIAG_RPMSG_DIAG]
  124 root      0:00 [DIAG_RPMSG_DIAG]
  125 root      0:00 [DIAG_RPMSG_DIAG]
  126 root      0:00 [DIAG_RPMSG_DIAG]
  127 root      0:00 [DIAG_RPMSG_DIAG]
  128 root      0:00 [kworker/u2:2]
  129 root      0:00 [diag_mhi_MDM]
  130 root      0:00 [DIAG_USB_diag_m]
  131 root      0:00 [kworker/u2:3]
  132 root      0:00 [kworker/u2:4]
  133 root      0:00 [diag_mhi_MDM_DC]
  134 root      0:00 [kworker/u2:5]
  135 root      0:00 [diag_dci_MDM_DC]
  136 root      0:00 [kworker/u2:6]
  137 root      0:00 [kworker/u2:7]
  138 root      0:00 [qseecom-unreg-l]
  139 root      0:00 [atlantic-fwd]
  140 root      0:00 [irq/44-arm-smmu]
  141 root      0:00 [mhi_w]
  147 root      0:00 [k_ipa_usb]
  150 root      0:00 [fts_wq]
  151 root      0:00 [irq/194-fts_ts]
